iter	Passed	Remaining
0	26	26549
1	41	20636
2	52	17550
3	63	15929
4	75	15112
5	87	14500
6	98	13994
7	119	14792
8	130	14380
9	142	14150
10	155	13941
11	166	13703
12	178	13525
13	190	13447
14	205	13475
15	216	13344
16	228	13196
17	240	13123
18	252	13049
19	264	12976
20	276	12908
21	288	12835
22	300	12753
23	310	12623
24	322	12579
25	333	12505
26	343	12387
27	356	12369
28	367	12307
29	379	12263
30	390	12190
31	401	12137
32	412	12077
33	422	11990
34	432	11928
35	442	11846
36	451	11763
37	462	11710
38	472	11646
39	482	11581
40	493	11553
41	505	11525
42	519	11556
43	537	11680
44	571	12127
45	596	12367
46	615	12473
47	630	12502
48	645	12525
49	659	12531
50	672	12520
51	685	12493
52	698	12484
53	713	12503
54	728	12512
55	739	12467
56	750	12422
57	763	12403
58	776	12388
59	788	12347
60	799	12301
61	810	12266
62	821	12214
63	834	12199
64	845	12165
65	856	12125
66	867	12077
67	879	12056
68	893	12052
69	905	12030
70	915	11982
71	927	11953
72	938	11917
73	950	11898
74	961	11855
75	972	11828
76	984	11800
77	994	11760
78	1006	11729
79	1022	11755
80	1041	11812
81	1055	11819
82	1067	11791
83	1081	11789
84	1091	11746
85	1103	11725
86	1113	11685
87	1122	11638
88	1132	11595
89	1141	11545
90	1152	11510
91	1161	11466
92	1170	11418
93	1180	11381
94	1189	11335
95	1200	11302
96	1209	11256
97	1219	11221
98	1229	11188
99	1238	11146
100	1248	11109
101	1257	11072
102	1267	11038
103	1277	11005
104	1286	10965
105	1296	10937
106	1306	10905
107	1317	10879
108	1327	10850
109	1337	10820
110	1348	10802
111	1358	10774
112	1369	10747
113	1379	10724
114	1390	10703
115	1401	10682
116	1412	10661
117	1423	10639
118	1433	10611
119	1443	10588
120	1453	10562
121	1464	10538
122	1474	10516
123	1484	10489
124	1495	10468
125	1506	10446
126	1515	10420
127	1526	10398
128	1536	10375
129	1546	10348
130	1556	10324
131	1566	10301
132	1576	10278
133	1587	10258
134	1597	10233
135	1608	10216
136	1618	10198
137	1628	10173
138	1639	10152
139	1649	10130
140	1659	10107
141	1669	10087
142	1679	10062
143	1690	10049
144	1701	10030
145	1711	10011
146	1722	9997
147	1734	9985
148	1751	10002
149	1766	10012
150	1778	9997
151	1790	9986
152	1801	9972
153	1811	9953
154	1823	9942
155	1834	9926
156	1846	9913
157	1856	9894
158	1867	9876
159	1878	9862
160	1890	9850
161	1902	9841
162	1913	9824
163	1924	9808
164	1935	9795
165	1947	9784
166	1957	9765
167	1967	9744
168	1978	9726
169	1988	9710
170	1999	9695
171	2011	9681
172	2021	9664
173	2032	9650
174	2043	9635
175	2055	9621
176	2065	9604
177	2076	9588
178	2086	9569
179	2097	9556
180	2109	9543
181	2119	9525
182	2130	9511
183	2142	9502
184	2153	9486
185	2163	9466
186	2172	9444
187	2183	9432
188	2194	9414
189	2203	9392
190	2212	9371
191	2222	9354
192	2232	9334
193	2242	9315
194	2251	9293
195	2261	9276
196	2270	9254
197	2280	9235
198	2290	9217
199	2299	9197
200	2309	9180
201	2318	9160
202	2328	9140
203	2337	9122
204	2346	9100
205	2356	9084
206	2366	9066
207	2377	9050
208	2386	9033
209	2395	9013
210	2405	8995
211	2414	8974
212	2424	8956
213	2434	8941
214	2443	8922
215	2453	8904
216	2462	8884
217	2473	8871
218	2482	8853
219	2492	8835
220	2501	8817
221	2511	8799
222	2520	8782
223	2530	8765
224	2541	8753
225	2551	8739
226	2560	8720
227	2570	8704
228	2580	8688
229	2589	8669
230	2599	8653
231	2608	8634
232	2617	8617
233	2627	8600
234	2636	8584
235	2646	8568
236	2655	8550
237	2666	8536
238	2676	8521
239	2685	8505
240	2695	8490
241	2704	8472
242	2714	8457
243	2724	8440
244	2733	8424
245	2742	8407
246	2752	8391
247	2762	8375
248	2771	8357
249	2781	8345
250	2791	8330
251	2801	8314
252	2811	8300
253	2820	8285
254	2831	8272
255	2842	8261
256	2852	8247
257	2863	8235
258	2873	8220
259	2884	8209
260	2895	8197
261	2906	8186
262	2916	8171
263	2927	8161
264	2939	8151
265	2948	8137
266	2959	8126
267	2969	8111
268	2981	8101
269	2993	8093
270	3002	8077
271	3013	8065
272	3023	8050
273	3032	8035
274	3042	8022
275	3052	8008
276	3062	7993
277	3074	7983
278	3086	7975
279	3101	7976
280	3129	8007
281	3155	8034
282	3172	8036
283	3190	8044
284	3203	8036
285	3214	8025
286	3226	8015
287	3237	8004
288	3249	7994
289	3260	7983
290	3272	7972
291	3282	7958
292	3291	7941
293	3301	7926
294	3310	7910
295	3321	7899
296	3331	7886
297	3340	7869
298	3350	7855
299	3360	7841
300	3370	7827
301	3381	7814
302	3391	7801
303	3402	7789
304	3412	7775
305	3421	7759
306	3430	7744
307	3439	7727
308	3450	7715
309	3461	7703
310	3471	7689
311	3481	7677
312	3491	7663
313	3502	7650
314	3514	7641
315	3523	7627
316	3534	7614
317	3545	7603
318	3554	7588
319	3565	7577
320	3576	7565
321	3586	7551
322	3596	7538
323	3606	7524
324	3616	7512
325	3627	7500
326	3637	7486
327	3648	7475
328	3659	7463
329	3670	7451
330	3682	7441
331	3711	7467
332	3727	7467
333	3741	7459
334	3753	7451
335	3764	7440
336	3776	7429
337	3787	7418
338	3798	7405
339	3810	7396
340	3820	7383
341	3831	7372
342	3843	7361
343	3854	7350
344	3867	7343
345	3878	7330
346	3888	7317
347	3898	7303
348	3908	7290
349	3919	7279
350	3931	7268
351	3941	7255
352	3952	7244
353	3964	7235
354	3976	7224
355	3988	7214
356	4000	7205
357	4010	7192
358	4021	7180
359	4032	7169
360	4043	7157
361	4054	7145
362	4064	7132
363	4074	7119
364	4084	7106
365	4095	7093
366	4105	7080
367	4115	7068
368	4126	7055
369	4137	7044
370	4147	7032
371	4158	7020
372	4168	7007
373	4179	6995
374	4189	6983
375	4199	6970
376	4210	6957
377	4219	6943
378	4231	6934
379	4243	6923
380	4252	6909
381	4262	6896
382	4273	6884
383	4283	6872
384	4295	6861
385	4306	6849
386	4316	6837
387	4327	6826
388	4337	6812
389	4347	6800
390	4359	6789
391	4368	6776
392	4378	6763
393	4389	6751
394	4399	6738
395	4409	6726
396	4419	6713
397	4429	6700
398	4440	6688
399	4450	6675
400	4461	6664
401	4471	6652
402	4482	6640
403	4493	6629
404	4503	6616
405	4515	6605
406	4525	6593
407	4536	6582
408	4546	6569
409	4556	6556
410	4565	6542
411	4576	6530
412	4587	6519
413	4596	6506
414	4607	6494
415	4617	6482
416	4627	6470
417	4638	6458
418	4648	6445
419	4658	6433
420	4669	6421
421	4679	6409
422	4689	6396
423	4700	6385
424	4711	6374
425	4721	6362
426	4732	6350
427	4741	6336
428	4752	6326
429	4764	6315
430	4774	6302
431	4784	6290
432	4793	6277
433	4804	6265
434	4815	6255
435	4825	6241
436	4836	6230
437	4846	6218
438	4857	6206
439	4867	6195
440	4877	6182
441	4888	6170
442	4898	6158
443	4908	6146
444	4919	6135
445	4930	6125
446	4941	6113
447	4951	6101
448	4962	6090
449	4972	6078
450	4983	6066
451	4994	6055
452	5004	6043
453	5018	6035
454	5028	6023
455	5039	6011
456	5049	6000
457	5061	5989
458	5070	5976
459	5081	5965
460	5091	5953
461	5101	5940
462	5111	5928
463	5121	5916
464	5131	5903
465	5141	5892
466	5152	5881
467	5163	5869
468	5174	5858
469	5184	5846
470	5194	5834
471	5205	5823
472	5215	5811
473	5226	5799
474	5237	5788
475	5246	5776
476	5257	5764
477	5267	5752
478	5279	5742
479	5289	5730
480	5298	5717
481	5308	5704
482	5319	5694
483	5330	5682
484	5341	5671
485	5352	5660
486	5362	5648
487	5373	5637
488	5383	5625
489	5393	5613
490	5404	5602
491	5414	5590
492	5426	5580
493	5437	5569
494	5448	5558
495	5459	5547
496	5470	5536
497	5481	5525
498	5493	5515
499	5505	5505
500	5517	5495
501	5528	5484
502	5539	5473
503	5552	5464
504	5563	5453
505	5574	5442
506	5587	5432
507	5598	5421
508	5609	5410
509	5620	5400
510	5631	5388
511	5641	5376
512	5652	5366
513	5663	5354
514	5675	5344
515	5685	5333
516	5697	5323
517	5708	5311
518	5721	5302
519	5732	5291
520	5742	5279
521	5753	5268
522	5766	5259
523	5776	5247
524	5788	5237
525	5800	5226
526	5811	5215
527	5822	5204
528	5833	5194
529	5844	5182
530	5855	5171
531	5867	5161
532	5879	5151
533	5889	5139
534	5900	5128
535	5911	5117
536	5922	5106
537	5933	5095
538	5944	5084
539	5955	5073
540	5966	5062
541	5977	5050
542	5987	5039
543	5997	5027
544	6009	5016
545	6019	5004
546	6030	4993
547	6040	4982
548	6051	4971
549	6060	4958
550	6070	4947
551	6079	4934
552	6090	4923
553	6103	4913
554	6114	4902
555	6124	4890
556	6134	4878
557	6144	4867
558	6154	4855
559	6166	4844
560	6175	4832
561	6185	4820
562	6194	4808
563	6205	4796
564	6215	4785
565	6225	4773
566	6235	4761
567	6245	4750
568	6255	4738
569	6266	4727
570	6276	4715
571	6286	4703
572	6296	4692
573	6306	4680
574	6316	4668
575	6326	4657
576	6337	4645
577	6347	4634
578	6358	4623
579	6369	4612
580	6381	4601
581	6390	4590
582	6401	4579
583	6413	4568
584	6423	4556
585	6434	4545
586	6444	4534
587	6455	4523
588	6467	4512
589	6477	4501
590	6488	4490
591	6501	4480
592	6512	4470
593	6523	4458
594	6533	4446
595	6543	4435
596	6552	4423
597	6563	4412
598	6572	4400
599	6585	4390
600	6596	4379
601	6607	4368
602	6618	4357
603	6630	4347
604	6641	4336
605	6652	4325
606	6663	4314
607	6674	4302
608	6686	4292
609	6698	4282
610	6709	4271
611	6719	4260
612	6730	4249
613	6741	4238
614	6753	4227
615	6764	4216
616	6775	4206
617	6788	4196
618	6799	4185
619	6811	4174
620	6822	4164
621	6833	4152
622	6845	4142
623	6857	4132
624	6868	4120
625	6879	4109
626	6890	4099
627	6903	4089
628	6915	4078
629	6926	4067
630	6938	4057
631	6949	4046
632	6959	4035
633	6972	4024
634	6983	4013
635	6995	4003
636	7005	3992
637	7016	3981
638	7025	3969
639	7036	3958
640	7046	3946
641	7056	3934
642	7066	3923
643	7077	3912
644	7087	3900
645	7097	3889
646	7108	3878
647	7118	3866
648	7130	3856
649	7140	3844
650	7150	3833
651	7159	3821
652	7169	3809
653	7180	3798
654	7190	3787
655	7200	3775
656	7211	3765
657	7222	3754
658	7232	3742
659	7243	3731
660	7252	3719
661	7262	3708
662	7272	3696
663	7283	3685
664	7294	3674
665	7304	3663
666	7314	3651
667	7325	3640
668	7335	3629
669	7345	3617
670	7355	3606
671	7364	3594
672	7375	3583
673	7385	3572
674	7395	3560
675	7405	3549
676	7415	3537
677	7426	3526
678	7437	3516
679	7446	3504
680	7457	3493
681	7467	3482
682	7477	3470
683	7487	3459
684	7496	3447
685	7507	3436
686	7518	3425
687	7528	3414
688	7538	3402
689	7549	3392
690	7560	3380
691	7571	3369
692	7581	3358
693	7591	3347
694	7601	3336
695	7611	3324
696	7621	3313
697	7632	3302
698	7642	3291
699	7653	3280
700	7663	3268
701	7673	3257
702	7684	3246
703	7694	3235
704	7705	3224
705	7717	3213
706	7729	3203
707	7740	3192
708	7753	3182
709	7764	3171
710	7776	3161
711	7788	3150
712	7800	3139
713	7812	3129
714	7825	3119
715	7837	3108
716	7850	3098
717	7862	3088
718	7876	3078
719	7888	3067
720	7901	3057
721	7913	3046
722	7925	3036
723	7937	3025
724	7949	3015
725	7961	3004
726	7973	2993
727	7984	2983
728	7997	2972
729	8010	2962
730	8022	2952
731	8034	2941
732	8046	2930
733	8058	2920
734	8070	2909
735	8081	2898
736	8095	2888
737	8107	2878
738	8119	2867
739	8131	2857
740	8144	2846
741	8157	2836
742	8169	2825
743	8180	2814
744	8194	2804
745	8206	2794
746	8217	2783
747	8230	2772
748	8242	2762
749	8255	2751
750	8267	2741
751	8278	2730
752	8290	2719
753	8303	2708
754	8314	2698
755	8326	2687
756	8339	2676
757	8351	2666
758	8363	2655
759	8374	2644
760	8385	2633
761	8396	2622
762	8407	2611
763	8420	2600
764	8430	2589
765	8441	2578
766	8453	2567
767	8464	2556
768	8475	2545
769	8487	2535
770	8498	2524
771	8508	2512
772	8518	2501
773	8529	2490
774	8538	2478
775	8549	2467
776	8559	2456
777	8569	2445
778	8579	2433
779	8588	2422
780	8597	2410
781	8607	2399
782	8616	2387
783	8625	2376
784	8634	2364
785	8644	2353
786	8653	2342
787	8663	2330
788	8672	2319
789	8682	2307
790	8692	2296
791	8701	2285
792	8711	2274
793	8722	2263
794	8732	2251
795	8742	2240
796	8753	2229
797	8764	2218
798	8773	2207
799	8783	2195
800	8794	2184
801	8804	2173
802	8814	2162
803	8825	2151
804	8836	2140
805	8847	2129
806	8860	2118
807	8870	2107
808	8881	2096
809	8892	2085
810	8902	2074
811	8914	2063
812	8926	2053
813	8937	2042
814	8948	2031
815	8960	2020
816	8972	2009
817	8985	1999
818	8996	1988
819	9007	1977
820	9017	1966
821	9028	1954
822	9039	1944
823	9050	1933
824	9059	1921
825	9071	1911
826	9082	1900
827	9093	1888
828	9103	1877
829	9114	1866
830	9125	1855
831	9135	1844
832	9147	1833
833	9157	1822
834	9168	1811
835	9179	1800
836	9189	1789
837	9199	1778
838	9209	1767
839	9219	1756
840	9230	1745
841	9239	1733
842	9249	1722
843	9260	1711
844	9270	1700
845	9282	1689
846	9293	1678
847	9302	1667
848	9312	1656
849	9323	1645
850	9333	1634
851	9344	1623
852	9354	1612
853	9364	1601
854	9375	1589
855	9385	1578
856	9405	1569
857	9416	1558
858	9427	1547
859	9437	1536
860	9448	1525
861	9460	1514
862	9470	1503
863	9481	1492
864	9492	1481
865	9502	1470
866	9513	1459
867	9524	1448
868	9536	1437
869	9547	1426
870	9559	1415
871	9570	1404
872	9580	1393
873	9592	1382
874	9603	1371
875	9613	1360
876	9625	1350
877	9637	1339
878	9647	1328
879	9659	1317
880	9671	1306
881	9681	1295
882	9693	1284
883	9705	1273
884	9716	1262
885	9728	1251
886	9739	1240
887	9751	1229
888	9762	1218
889	9773	1207
890	9784	1196
891	9794	1185
892	9808	1175
893	9821	1164
894	9833	1153
895	9846	1142
896	9856	1131
897	9867	1120
898	9877	1109
899	9887	1098
900	9898	1087
901	9908	1076
902	9918	1065
903	9929	1054
904	9939	1043
905	9949	1032
906	9960	1021
907	9970	1010
908	9980	999
909	9991	988
910	10000	977
911	10010	965
912	10019	954
913	10030	943
914	10041	932
915	10053	921
916	10065	911
917	10074	899
918	10085	888
919	10095	877
920	10106	866
921	10116	855
922	10126	844
923	10137	833
924	10147	822
925	10158	811
926	10167	800
927	10178	789
928	10189	778
929	10199	767
930	10211	756
931	10221	745
932	10231	734
933	10241	723
